Model,Mean Training MSE,Mean Validation MSE,Training Set MSE,Test Set MSE,Train Set R2,Test Set R2
Linear Regression,3.923546806991779e-05,0.00035851328096700685,4.297798147358459e-05,0.00014557712149298354,0.9804118142534131,0.9190066421043338
PCA-Transformed Linear Regression,0.0010790005656739743,0.0015849966743781917,0.0010930665377054407,0.0009136201025538271,0.04451232990854981,-0.03785056622498373
Lasso Regression,0.00020441572616981672,0.0003452637574741544,5.449200287352403e-05,0.00017978692938839806,0.9750120573258105,0.8970374177408071
Ridge Regression,4.052275056292181e-05,0.0003585061658106019,4.360835252099578e-05,0.00013572932798801315,0.9801171358391061,0.9238825200526878
